Datetime,Temperature,Turbidity,Dissolved Oxygen,PH,Ammonia,Nitrate
2021-06-19 05:04:00,24.4375,100.0,3.44,8.43365,0.38,193.0
2021-06-19 05:05:00,24.4375,100.0,3.955,8.48812,0.38,194.0
2021-06-19 05:06:00,24.375,100.0,26.371,8.42911,0.38,192.0
2021-06-19 05:07:00,24.4375,100.0,26.59,8.42911,0.38,190.0
2021-06-19 05:08:00,24.4375,100.0,2.535,8.42911,0.38,191.0
2021-06-19 05:09:00,24.4375,100.0,15.839,8.42911,0.38,192.0
2021-06-19 05:10:00,24.4375,100.0,5.468,8.42457,0.38,192.0
2021-06-19 05:11:00,24.4375,100.0,26.886,8.42911,0.38,181.0
2021-06-19 05:12:00,24.4375,100.0,6.601,8.42911,0.38,193.0
2021-06-19 05:13:00,24.4375,100.0,4.403,8.48358,0.38,191.0
2021-06-19 05:14:00,24.4375,100.0,5.417,8.42457,0.38,192.0
2021-06-19 05:15:00,24.4375,100.0,4.133,8.43365,0.38,192.0
2021-06-19 05:16:00,24.4375,100.0,3.761,8.42457,0.38,192.0
2021-06-19 05:17:00,24.4375,100.0,4.775,8.42003,0.38,193.0
2021-06-19 05:18:00,24.4375,100.0,19.736,8.40641,0.38,193.0
2021-06-19 05:19:00,24.4375,100.0,3.6,8.48358,0.38,192.0
2021-06-19 05:20:00,24.4375,100.0,5.164,8.42911,0.38,194.0
2021-06-19 05:21:00,24.4375,100.0,4.412,8.42911,0.38,191.0
2021-06-19 05:22:00,24.4375,100.0,33.792,8.42911,0.38,193.0
2021-06-19 05:23:00,24.4375,100.0,33.792,8.42911,0.38,193.0
2021-06-19 05:24:00,24.4375,100.0,5.62,8.42911,0.38,192.0
2021-06-19 05:25:00,24.4375,100.0,38.347,8.42457,0.38,192.0
2021-06-19 05:26:00,24.4375,100.0,33.555,8.41549,0.38,192.0
2021-06-19 05:27:00,24.4375,100.0,3.025,8.43365,0.38,192.0
2021-06-19 05:28:00,24.4375,100.0,3.144,8.43818,0.38,193.0
2021-06-19 05:29:00,24.4375,100.0,29.591,8.41549,0.38,183.0
2021-06-19 05:30:00,24.375,100.0,6.465,8.41549,0.38,191.0
2021-06-19 05:31:00,24.4375,100.0,10.472,8.41549,0.38,192.0
2021-06-19 05:32:00,24.4375,100.0,4.259,8.42457,0.38,192.0
2021-06-19 05:33:00,24.4375,100.0,30.943,8.43818,0.38,192.0
2021-06-19 05:34:00,24.4375,100.0,4.86,8.42911,0.38,190.0
2021-06-19 05:35:00,24.4375,100.0,2.696,8.42911,0.38,191.0
2021-06-19 05:36:00,24.4375,100.0,10.835,8.42003,0.38,192.0
2021-06-19 05:37:00,24.375,100.0,3.347,8.42911,0.38,192.0
2021-06-19 05:38:00,24.5,100.0,2.315,8.42457,0.38,192.0
2021-06-19 05:39:00,24.4375,100.0,13.92,8.43365,0.38,191.0
2021-06-19 05:40:00,24.4375,100.0,2.603,8.42911,0.38,192.0
2021-06-19 05:41:00,24.4375,100.0,3.854,8.42457,0.38,193.0
2021-06-19 05:42:00,24.4375,100.0,6.795,8.44272,0.38,192.0
2021-06-19 05:43:00,24.4375,100.0,4.226,8.42003,0.38,186.0
2021-06-19 05:44:00,24.4375,100.0,5.417,8.42911,0.38,193.0
2021-06-19 05:45:00,24.375,100.0,4.006,8.42457,0.38,193.0
2021-06-19 05:46:00,24.375,100.0,5.84,8.42457,0.38,192.0
2021-06-19 05:47:00,24.4375,100.0,23.556,8.42003,0.38,194.0
2021-06-19 05:48:00,24.5,100.0,3.761,8.44726,0.38,193.0
2021-06-19 05:49:00,24.4375,100.0,3.364,8.42911,0.38,189.0
2021-06-19 05:50:00,24.4375,100.0,4.767,8.42003,0.38,194.0
2021-06-19 05:51:00,24.4375,100.0,30.495,8.41549,0.38,197.0
2021-06-19 05:52:00,24.4375,100.0,26.016,8.42911,0.38,195.0
2021-06-19 05:53:00,24.4375,100.0,37.063,8.48358,0.38,195.0
2021-06-19 05:54:00,24.4375,100.0,2.755,8.43365,0.38,195.0
2021-06-19 05:55:00,24.4375,100.0,1.682,8.42003,0.38,194.0
